,id,province,country,lat,long,date,cases,fatalities,capital,humidity,sunHour,tempC,windspeedKmph
0,1,,Afghanistan,33.0,65.0,2020-01-22,0.0,0.0,Kabul,65,8.7,-1,8
1,2,,Afghanistan,33.0,65.0,2020-01-23,0.0,0.0,Kabul,59,8.7,-3,8
2,3,,Afghanistan,33.0,65.0,2020-01-24,0.0,0.0,Kabul,71,7.1,0,7
3,4,,Afghanistan,33.0,65.0,2020-01-25,0.0,0.0,Kabul,79,8.7,0,7
4,5,,Afghanistan,33.0,65.0,2020-01-26,0.0,0.0,Kabul,64,8.7,-1,8
5,6,,Afghanistan,33.0,65.0,2020-01-27,0.0,0.0,Kabul,66,8.7,-1,6
6,7,,Afghanistan,33.0,65.0,2020-01-28,0.0,0.0,Kabul,59,8.7,-2,9
7,8,,Afghanistan,33.0,65.0,2020-01-29,0.0,0.0,Kabul,56,8.7,-3,8
8,9,,Afghanistan,33.0,65.0,2020-01-30,0.0,0.0,Kabul,66,8.7,-2,8
9,10,,Afghanistan,33.0,65.0,2020-01-31,0.0,0.0,Kabul,70,4.0,-1,8
10,11,,Afghanistan,33.0,65.0,2020-02-01,0.0,0.0,Kabul,60,8.7,-1,8
11,12,,Afghanistan,33.0,65.0,2020-02-02,0.0,0.0,Kabul,57,8.7,-1,8
12,13,,Afghanistan,33.0,65.0,2020-02-03,0.0,0.0,Kabul,73,4.0,0,5
13,14,,Afghanistan,33.0,65.0,2020-02-04,0.0,0.0,Kabul,89,4.0,-1,4
14,15,,Afghanistan,33.0,65.0,2020-02-05,0.0,0.0,Kabul,70,8.7,-2,9
15,16,,Afghanistan,33.0,65.0,2020-02-06,0.0,0.0,Kabul,57,7.1,-1,9
16,17,,Afghanistan,33.0,65.0,2020-02-07,0.0,0.0,Kabul,50,8.7,-1,10
17,18,,Afghanistan,33.0,65.0,2020-02-08,0.0,0.0,Kabul,45,8.7,4,8
18,19,,Afghanistan,33.0,65.0,2020-02-09,0.0,0.0,Kabul,48,8.7,3,7
19,20,,Afghanistan,33.0,65.0,2020-02-10,0.0,0.0,Kabul,65,7.2,1,6
20,21,,Afghanistan,33.0,65.0,2020-02-11,0.0,0.0,Kabul,97,4.1,1,3
21,22,,Afghanistan,33.0,65.0,2020-02-12,0.0,0.0,Kabul,99,4.1,1,3
22,23,,Afghanistan,33.0,65.0,2020-02-13,0.0,0.0,Kabul,81,4.1,6,9
23,24,,Afghanistan,33.0,65.0,2020-02-14,0.0,0.0,Kabul,38,8.7,2,11
24,25,,Afghanistan,33.0,65.0,2020-02-15,0.0,0.0,Kabul,39,8.7,5,8
25,26,,Afghanistan,33.0,65.0,2020-02-16,0.0,0.0,Kabul,39,8.7,1,11
26,27,,Afghanistan,33.0,65.0,2020-02-17,0.0,0.0,Kabul,33,8.7,5,11
27,28,,Afghanistan,33.0,65.0,2020-02-18,0.0,0.0,Kabul,41,8.7,7,10
28,29,,Afghanistan,33.0,65.0,2020-02-19,0.0,0.0,Kabul,49,8.7,5,6
29,30,,Afghanistan,33.0,65.0,2020-02-20,0.0,0.0,Kabul,55,7.2,6,7
30,31,,Afghanistan,33.0,65.0,2020-02-21,0.0,0.0,Kabul,50,8.7,7,9
31,32,,Afghanistan,33.0,65.0,2020-02-22,0.0,0.0,Kabul,51,8.7,9,8
32,33,,Afghanistan,33.0,65.0,2020-02-23,0.0,0.0,Kabul,47,8.7,11,7
33,34,,Afghanistan,33.0,65.0,2020-02-24,1.0,0.0,Kabul,47,8.7,11,8
34,35,,Afghanistan,33.0,65.0,2020-02-25,1.0,0.0,Kabul,50,8.7,10,9
35,36,,Afghanistan,33.0,65.0,2020-02-26,1.0,0.0,Kabul,42,8.7,13,8
36,37,,Afghanistan,33.0,65.0,2020-02-27,1.0,0.0,Kabul,59,8.7,14,5
37,38,,Afghanistan,33.0,65.0,2020-02-28,1.0,0.0,Kabul,70,4.2,12,5
38,39,,Afghanistan,33.0,65.0,2020-02-29,1.0,0.0,Kabul,74,7.2,9,5
39,40,,Afghanistan,33.0,65.0,2020-03-01,1.0,0.0,Kabul,65,8.7,13,3
40,41,,Afghanistan,33.0,65.0,2020-03-02,1.0,0.0,Kabul,46,8.7,16,5
41,42,,Afghanistan,33.0,65.0,2020-03-03,1.0,0.0,Kabul,39,8.7,14,4
42,43,,Afghanistan,33.0,65.0,2020-03-04,1.0,0.0,Kabul,75,5.7,7,8
43,44,,Afghanistan,33.0,65.0,2020-03-05,1.0,0.0,Kabul,79,5.7,8,5
44,45,,Afghanistan,33.0,65.0,2020-03-06,1.0,0.0,Kabul,53,8.7,12,3
45,46,,Afghanistan,33.0,65.0,2020-03-07,1.0,0.0,Kabul,39,8.7,10,7
46,47,,Afghanistan,33.0,65.0,2020-03-08,4.0,0.0,Kabul,34,8.7,9,5
47,48,,Afghanistan,33.0,65.0,2020-03-09,4.0,0.0,Kabul,54,5.8,8,4
48,49,,Afghanistan,33.0,65.0,2020-03-10,5.0,0.0,Kabul,74,4.3,6,6
49,50,,Afghanistan,33.0,65.0,2020-03-11,7.0,0.0,Kabul,71,4.3,9,13
50,51,,Afghanistan,33.0,65.0,2020-03-12,7.0,0.0,Kabul,70,4.3,7,8
51,52,,Afghanistan,33.0,65.0,2020-03-13,7.0,0.0,Kabul,52,11.6,13,4
52,53,,Afghanistan,33.0,65.0,2020-03-14,11.0,0.0,Kabul,31,11.6,14,5
53,54,,Afghanistan,33.0,65.0,2020-03-15,16.0,0.0,Kabul,30,11.6,14,4
54,55,,Afghanistan,33.0,65.0,2020-03-16,21.0,0.0,Kabul,32,10.2,14,4
55,56,,Afghanistan,33.0,65.0,2020-03-17,22.0,0.0,Kabul,44,11.6,15,3
56,57,,Afghanistan,33.0,65.0,2020-03-18,22.0,0.0,Kabul,44,12.0,17,4
57,58,,Afghanistan,33.0,65.0,2020-03-19,22.0,0.0,Kabul,39,12.5,17,4
58,59,,Afghanistan,33.0,65.0,2020-03-20,24.0,0.0,Kabul,54,9.1,13,5
59,60,,Afghanistan,33.0,65.0,2020-03-21,24.0,0.0,Kabul,61,9.2,15,5
60,94,,Albania,41.1533,20.1683,2020-01-22,0.0,0.0,Tirana,51,7.0,11,3
61,95,,Albania,41.1533,20.1683,2020-01-23,0.0,0.0,Tirana,52,8.7,14,5
62,96,,Albania,41.1533,20.1683,2020-01-24,0.0,0.0,Tirana,56,8.7,15,5
63,97,,Albania,41.1533,20.1683,2020-01-25,0.0,0.0,Tirana,78,3.7,12,5
64,98,,Albania,41.1533,20.1683,2020-01-26,0.0,0.0,Tirana,78,3.7,14,5
65,99,,Albania,41.1533,20.1683,2020-01-27,0.0,0.0,Tirana,86,5.4,13,7
66,100,,Albania,41.1533,20.1683,2020-01-28,0.0,0.0,Tirana,84,3.7,12,9
67,101,,Albania,41.1533,20.1683,2020-01-29,0.0,0.0,Tirana,83,3.7,13,10
68,102,,Albania,41.1533,20.1683,2020-01-30,0.0,0.0,Tirana,75,7.0,13,6
69,103,,Albania,41.1533,20.1683,2020-01-31,0.0,0.0,Tirana,65,8.7,14,5
70,104,,Albania,41.1533,20.1683,2020-02-01,0.0,0.0,Tirana,80,7.1,14,4
71,105,,Albania,41.1533,20.1683,2020-02-02,0.0,0.0,Tirana,82,8.7,15,4
72,106,,Albania,41.1533,20.1683,2020-02-03,0.0,0.0,Tirana,81,8.7,15,5
73,107,,Albania,41.1533,20.1683,2020-02-04,0.0,0.0,Tirana,82,7.1,16,13
74,108,,Albania,41.1533,20.1683,2020-02-05,0.0,0.0,Tirana,71,8.7,8,15
75,109,,Albania,41.1533,20.1683,2020-02-06,0.0,0.0,Tirana,56,8.7,6,14
76,110,,Albania,41.1533,20.1683,2020-02-07,0.0,0.0,Tirana,51,8.7,9,5
77,111,,Albania,41.1533,20.1683,2020-02-08,0.0,0.0,Tirana,59,8.7,14,5
78,112,,Albania,41.1533,20.1683,2020-02-09,0.0,0.0,Tirana,65,8.7,13,6
79,113,,Albania,41.1533,20.1683,2020-02-10,0.0,0.0,Tirana,77,5.6,12,8
80,114,,Albania,41.1533,20.1683,2020-02-11,0.0,0.0,Tirana,78,4.0,14,10
81,115,,Albania,41.1533,20.1683,2020-02-12,0.0,0.0,Tirana,80,4.0,16,6
82,116,,Albania,41.1533,20.1683,2020-02-13,0.0,0.0,Tirana,64,8.7,16,5
83,117,,Albania,41.1533,20.1683,2020-02-14,0.0,0.0,Tirana,78,4.0,9,9
84,118,,Albania,41.1533,20.1683,2020-02-15,0.0,0.0,Tirana,66,8.7,15,9
85,119,,Albania,41.1533,20.1683,2020-02-16,0.0,0.0,Tirana,61,8.7,16,6
86,120,,Albania,41.1533,20.1683,2020-02-17,0.0,0.0,Tirana,62,8.7,15,4
87,121,,Albania,41.1533,20.1683,2020-02-18,0.0,0.0,Tirana,70,8.7,14,4
88,122,,Albania,41.1533,20.1683,2020-02-19,0.0,0.0,Tirana,77,8.7,15,4
89,123,,Albania,41.1533,20.1683,2020-02-20,0.0,0.0,Tirana,76,5.6,11,8
90,124,,Albania,41.1533,20.1683,2020-02-21,0.0,0.0,Tirana,57,8.7,11,8
91,125,,Albania,41.1533,20.1683,2020-02-22,0.0,0.0,Tirana,54,8.7,12,9
92,126,,Albania,41.1533,20.1683,2020-02-23,0.0,0.0,Tirana,54,8.7,14,4
93,127,,Albania,41.1533,20.1683,2020-02-24,0.0,0.0,Tirana,62,8.7,16,5
94,128,,Albania,41.1533,20.1683,2020-02-25,0.0,0.0,Tirana,71,8.7,17,6
95,129,,Albania,41.1533,20.1683,2020-02-26,0.0,0.0,Tirana,74,7.2,17,18
96,130,,Albania,41.1533,20.1683,2020-02-27,0.0,0.0,Tirana,79,4.2,7,17
97,131,,Albania,41.1533,20.1683,2020-02-28,0.0,0.0,Tirana,83,4.2,9,12
98,132,,Albania,41.1533,20.1683,2020-02-29,0.0,0.0,Tirana,58,8.7,11,5
99,133,,Albania,41.1533,20.1683,2020-03-01,0.0,0.0,Tirana,57,8.7,14,6
100,134,,Albania,41.1533,20.1683,2020-03-02,0.0,0.0,Tirana,71,7.2,18,13
101,135,,Albania,41.1533,20.1683,2020-03-03,0.0,0.0,Tirana,73,4.2,17,15
102,136,,Albania,41.1533,20.1683,2020-03-04,0.0,0.0,Tirana,85,4.2,11,6
103,137,,Albania,41.1533,20.1683,2020-03-05,0.0,0.0,Tirana,75,8.7,13,5
104,138,,Albania,41.1533,20.1683,2020-03-06,0.0,0.0,Tirana,68,4.2,12,9
105,139,,Albania,41.1533,20.1683,2020-03-07,0.0,0.0,Tirana,87,5.7,13,9
106,140,,Albania,41.1533,20.1683,2020-03-08,0.0,0.0,Tirana,87,4.3,11,8
107,141,,Albania,41.1533,20.1683,2020-03-09,2.0,0.0,Tirana,82,4.3,13,6
108,142,,Albania,41.1533,20.1683,2020-03-10,10.0,0.0,Tirana,74,11.4,11,6
109,143,,Albania,41.1533,20.1683,2020-03-11,12.0,1.0,Tirana,69,11.6,15,6
110,144,,Albania,41.1533,20.1683,2020-03-12,23.0,1.0,Tirana,68,11.6,21,5
111,145,,Albania,41.1533,20.1683,2020-03-13,33.0,1.0,Tirana,66,11.6,20,5
112,146,,Albania,41.1533,20.1683,2020-03-14,38.0,1.0,Tirana,71,11.6,20,4
113,147,,Albania,41.1533,20.1683,2020-03-15,42.0,1.0,Tirana,77,7.4,15,8
114,148,,Albania,41.1533,20.1683,2020-03-16,51.0,1.0,Tirana,63,11.6,17,7
115,149,,Albania,41.1533,20.1683,2020-03-17,55.0,1.0,Tirana,60,11.6,15,7
116,150,,Albania,41.1533,20.1683,2020-03-18,59.0,2.0,Tirana,60,11.6,19,6
117,151,,Albania,41.1533,20.1683,2020-03-19,64.0,2.0,Tirana,60,11.6,17,8
118,152,,Albania,41.1533,20.1683,2020-03-20,70.0,2.0,Tirana,62,11.6,18,5
119,153,,Albania,41.1533,20.1683,2020-03-21,76.0,2.0,Tirana,63,11.6,19,5
120,187,,Algeria,28.0339,1.6596,2020-01-22,0.0,0.0,Algiers,50,10.5,19,16
121,188,,Algeria,28.0339,1.6596,2020-01-23,0.0,0.0,Algiers,59,10.5,20,8
122,189,,Algeria,28.0339,1.6596,2020-01-24,0.0,0.0,Algiers,50,10.5,21,7
123,190,,Algeria,28.0339,1.6596,2020-01-25,0.0,0.0,Algiers,46,10.5,20,11
124,191,,Algeria,28.0339,1.6596,2020-01-26,0.0,0.0,Algiers,63,6.8,17,12
125,192,,Algeria,28.0339,1.6596,2020-01-27,0.0,0.0,Algiers,65,10.5,19,8
126,193,,Algeria,28.0339,1.6596,2020-01-28,0.0,0.0,Algiers,60,10.5,18,10
127,194,,Algeria,28.0339,1.6596,2020-01-29,0.0,0.0,Algiers,58,10.6,20,8
128,195,,Algeria,28.0339,1.6596,2020-01-30,0.0,0.0,Algiers,52,10.6,20,6
129,196,,Algeria,28.0339,1.6596,2020-01-31,0.0,0.0,Algiers,54,10.6,19,10
130,197,,Algeria,28.0339,1.6596,2020-02-01,0.0,0.0,Algiers,67,10.6,19,10
131,198,,Algeria,28.0339,1.6596,2020-02-02,0.0,0.0,Algiers,69,10.6,21,6
132,199,,Algeria,28.0339,1.6596,2020-02-03,0.0,0.0,Algiers,61,10.7,22,5
133,200,,Algeria,28.0339,1.6596,2020-02-04,0.0,0.0,Algiers,57,10.7,21,8
134,201,,Algeria,28.0339,1.6596,2020-02-05,0.0,0.0,Algiers,66,10.7,14,15
135,202,,Algeria,28.0339,1.6596,2020-02-06,0.0,0.0,Algiers,54,10.7,17,11
136,203,,Algeria,28.0339,1.6596,2020-02-07,0.0,0.0,Algiers,43,10.7,17,8
137,204,,Algeria,28.0339,1.6596,2020-02-08,0.0,0.0,Algiers,71,10.0,17,6
138,205,,Algeria,28.0339,1.6596,2020-02-09,0.0,0.0,Algiers,70,10.8,18,6
139,206,,Algeria,28.0339,1.6596,2020-02-10,0.0,0.0,Algiers,54,10.8,24,6
140,207,,Algeria,28.0339,1.6596,2020-02-11,0.0,0.0,Algiers,37,10.8,23,7
141,208,,Algeria,28.0339,1.6596,2020-02-12,0.0,0.0,Algiers,45,10.8,24,5
142,209,,Algeria,28.0339,1.6596,2020-02-13,0.0,0.0,Algiers,74,10.1,16,10
143,210,,Algeria,28.0339,1.6596,2020-02-14,0.0,0.0,Algiers,70,10.9,22,6
144,211,,Algeria,28.0339,1.6596,2020-02-15,0.0,0.0,Algiers,68,10.9,23,6
145,212,,Algeria,28.0339,1.6596,2020-02-16,0.0,0.0,Algiers,67,10.9,24,5
146,213,,Algeria,28.0339,1.6596,2020-02-17,0.0,0.0,Algiers,66,10.9,23,4
